Original Title;authorAbout;numberOfRatings;url;firstPublishedDate;ISBN;description;authorName;Edition Language;rating;Literary Awards;Characters;bookId;title
The Complete Sherlock Holmes;"Sir Arthur Ignatius Conan Doyle was born the third of ten siblings on 22 May 1859 in Edinburgh, Scotland. His father, Charles Altamont Doyle, a talented illustrator, was born in England of Irish descent, and his mother, born Mary Foley, was Irish. They were married in 1855.Although he is now referred to as ""Conan Doyle"", the origin of this compound surname (if that is how he meant it to be understood) is uncertain. His baptism record in the registry of St Mary's Cathedral in Edinburgh gives 'Arthur Ignatius Conan' as his Christian name, and simply 'Doyle' as his surname. It also names Michael Conan as his godfather.At the age of nine Conan Doyle was sent to the Roman Catholic Jesuit preparatory school, Hodder Place, Stonyhurst. He then went on to Stonyhurst College, leaving in 1875.From 1876 to 1881 he studied medicine at the University of Edinburgh. This required that he provide periodic medical assistance in the towns of Aston (now a district of Birmingham) and Sheffield. While studying, Conan Doyle began writing short stories. His first published story appeared in ""Chambers's Edinburgh Journal"" before he was 20. Following his graduation, he was employed as a ship's doctor on the SS Mayumba during a voyage to the West African coast. He completed his doctorate on the subject of tabes dorsalis in 1885.In 1885 Conan Doyle married Louisa (or Louise) Hawkins, known as ""Touie"". She suffered from tuberculosis and died on 4 July 1906. The following year he married Jean Elizabeth Leckie, whom he had first met and fallen in love with in 1897. Due to his sense of loyalty he had maintained a purely platonic relationship with Jean while his first wife was alive. Jean died in London on 27 June 1940.Conan Doyle fathered five children. Two with his first wife—Mary Louise (28 January 1889 – 12 June 1976), and Arthur Alleyne Kingsley, known as Kingsley (15 November 1892 – 28 October 1918). With his second wife he had three children—Denis Percy Stewart (17 March 1909 – 9 March 1955), second husband in 1936 of Georgian Princess Nina Mdivani (circa 1910 – 19 February 1987; former sister-in-law of Barbara Hutton); Adrian Malcolm (19 November 1910–3 June 1970) and Jean Lena Annette (21 December 1912–18 November 1997).Conan Doyle was found clutching his chest in the hall of Windlesham, his house in Crowborough, East Sussex, on 7 July 1930. He had died of a heart attack at age 71. His last words were directed toward his wife: ""You are wonderful."" The epitaph on his gravestone in the churchyard at Minstead in the New Forest, Hampshire, reads:STEEL TRUEBLADE STRAIGHTARTHUR CONAN DOYLEKNIGHTPATRIOT, PHYSICIAN &amp; MAN OF LETTERSConan Doyle's house, Undershaw, located in Hindhead, south of London, where he had lived for a decade, had been a hotel and restaurant between 1924 and 2004. It now stands empty while conservationists and Conan Doyle fans fight to preserve it.A statue honours Conan Doyle at Crowborough Cross in Crowborough, where Conan Doyle lived for 23 years. There is also a statue of Sherlock Holmes in Picardy Place, Edinburgh, close to the house where Conan Doyle was born.Series:* Sherlock Holmes";196106;https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes;1927-04-01;;"A study in scarlet --The sign of four --Adventures of Sherlock Holmes : A scandal in Bohemia ; The red-headed league ; A case of identity ; The Boscombe Valley mystery ; The five orange pips ; The man with the twisted lip ; The adventure of the blue carbuncle ; The adventure of the speckled band ; The adventure of the engineer's thumb ; The adventure of the noble bachelor ; The adventure of the beryl coronet ; The adventure of the copper beeches --Memoirs of Sherlock Holmes : Silver blaze ; The yellow face ; The stock-broker's clerk ; The ""Gloria Scott"" ; The Musgrave ritual ; The Reigate puzzle ; The crooked man ; The resident patient ; The Greek interpreter ; The naval treaty ; The final problem --The return of Sherlock Holmes : The adventure of the empty house ; The adventure of the Norwood builder ; The adventure of the dancing men ; The adventure of the solitary cyclist ; The adventure of the priory school ; The adventure of Black Peter ; The adventure of Charles Augustus Milverton ; The adventure of the six Napoleons ; The adventure of the three students ; The adventure of the golden pince-nez ; The adventure of the missing three-quarter ; The adventure of the abbey grange ; The adventure of the second stain. Volume 2. Introduction / by Loren D. Estleman --The hound of the Baskervilles --The valley of fear --His last bow : The adventure of Wisteria Lodge : The singular experience of Mr. John Scott Eccles ; The tiger of San Pedro ; The adventure of the cardboard box ; The adventure of the red circle ; The adventure of the Bruce-Partington plans ; The adventure of the dying detective ; The disappearance of Lady Frances Carfax ; The adventure of the devil's foot ; His last bow --The case-book of Sherlock Holmes : The adventure of the illustrious client ; The adventure of the blanched soldier ; The adventure of the Mazarin stone ; The adventure of the three gables ; The adventure of the Sussex vampire ; The adventure of the three Garridebs ; The problem of Thor Bridge ; The adventure of the creeping man ; The adventure of the lion's mane ; The adventure of the veiled lodger ; The adventure of Shoscombe old place ; The adventure of the retired colourman.";Arthur Conan Doyle;English;4.5;Audie Award;Inspector Lestrade, James Moriarty, Mrs. Hudson (Conan Doyle series), Irene Adler, Mycroft Holmes, Dr. John Watson, Sherlock Holmes;188572;The Complete Sherlock Holmes
El amor en los tiempos del cólera;"Gabriel José de la Concordia Garcí­a Márquez was a Colombian novelist, short-story writer, screenwriter and journalist. Garcí­a Márquez, familiarly known as ""Gabo"" in his native country, was considered one of the most significant authors of the 20th century. In 1982, he was awarded the Nobel Prize in Literature.He studied at the University of Bogotá and later worked as a reporter for the Colombian newspaper El Espectador and as a foreign correspondent in Rome, Paris, Barcelona, Caracas, and New York. He wrote many acclaimed non-fiction works and short stories, but is best-known for his novels, such as One Hundred Years of Solitude (1967) and Love in the Time of Cholera (1985). His works have achieved significant critical acclaim and widespread commercial success, most notably for popularizing a literary style labeled as magical realism, which uses magical elements and events in order to explain real experiences. Some of his works are set in a fictional village called Macondo, and most of them express the theme of solitude.Having previously written shorter fiction and screenplays, García Márquez sequestered himself away in his Mexico City home for an extended period of time to complete his novel Cien años de soledad, or One Hundred Years of Solitude, published in 1967. The author drew international acclaim for the work, which ultimately sold tens of millions of copies worldwide. García Márquez is credited with helping introduce an array of readers to magical realism, a genre that combines more conventional storytelling forms with vivid, layers of fantasy.Another one of his novels, El amor en los tiempos del cólera (1985), or Love in the Time of Cholera, drew a large global audience as well. The work was partially based on his parents' courtship and was adapted into a 2007 film starring Javier Bardem. García Márquez wrote seven novels during his life, with additional titles that include El general en su laberinto (1989), or The General in His Labyrinth, and Del amor y otros demonios (1994), or Of Love and Other Demons.(Arabic: جابرييل جارسيا ماركيز) (Hebrew: גבריאל גארסיה מרקס) (Ukrainian: Ґабріель Ґарсія Маркес) (Belarussian: Габрыель Гарсія Маркес) (Russian: Габриэль Гарсия Маркес)";489487;https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera;1985-11-01;140003468X;In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is heartbroken, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs—yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.;Gabriel García Márquez;English;3.93;Audie Award, Los Angeles Times Book Prize;Fermina Daza, Florentino Ariza, Juvenal Urbino, Lorenzo Daza, Aunt Escolástica, Hildebranda Sánchez, Trànsito Ariza, Leona Cassiani, América Vicuna;9712;Love in the Time of Cholera
The Poisonwood Bible;"Barbara Kingsolver is an American novelist, essayist, and poet. She was raised in rural Kentucky and lived briefly in Africa in her early childhood. Kingsolver earned degrees in Biology at DePauw University and the University of Arizona and worked as a freelance writer before she began writing novels. Her most famous works include The Poisonwood Bible, the tale of a missionary family in the Congo, and Animal, Vegetable, Miracle, a non-fiction account of her family's attempts to eat locally.Her work often focuses on topics such as social justice, biodiversity, and the interaction between humans and their communities and environments. Each of her books published since 1993 have been on The New York Times Best Seller list. Kingsolver has received numerous awards, including the UK's Orange Prize for Fiction 2010, for The Lacuna and the National Humanities Medal. She has been nominated for the PEN/Faulkner Award and the Pulitzer Prize.In 2000, Kingsolver established the Bellwether Prize to support ""literature of social change.""Kingsolver was born in Annapolis, Maryland in 1955 and grew up in Carlisle in rural Kentucky. When Kingsolver was seven years old, her father, a physician, took the family to the former Republic of Congo in what is now the Democratic Republic of the Congo. Her parents worked in a public health capacity, and the family lived without electricity or running water.After graduating from high school, Kingsolver attended DePauw University in Greencastle, Indiana on a music scholarship, studying classical piano. Eventually, however, she changed her major to biology when she realized that ""classical pianists compete for six job openings a year, and the rest of [them:] get to play 'Blue Moon' in a hotel lobby."" She was involved in activism on her campus, and took part in protests against the Vietnam war. She graduated with a Bachelor of Science in 1977, and moved to France for a year before settling in Tucson, Arizona, where she would live for much of the next two decades. In 1980 she enrolled in graduate school at the University of Arizona, where she earned a Master's degree in ecology and evolutionary biology.Kingsolver began her full-time writing career in the mid 1980s as a science writer for the university, which eventually lead to some freelance feature writing. She began her career in fiction writing after winning a short story contest in a local Phoenix newspaper. In 1985 she married Joseph Hoffmann; their daughter Camille was born in 1987. She moved with her daughter to Tenerife in the Canary Islands for a year during the first Gulf war, mostly due to frustration over America's military involvement. After returning to the US in 1992, she separated from her husband.In 1994, Kingsolver was awarded an Honorary Doctorate of Letters from her alma mater, DePauw University. She was also married to Steven Hopp, that year, and their daughter, Lily, was born in 1996. In 2004, Kingsolver moved with her family to a farm in Washington County, Virginia, where they currently reside. In 2008, she received an Honorary Doctorate of Humane Letters from Duke University, where she delivered a commencement address entitled ""How to be Hopeful"".In a 2010 interview with The Guardian, Kingsolver says, ""I never wanted to be famous, and still don't, [...:] the universe rewarded me with what I dreaded most."" She says created her own website just to compete with a plethora of fake ones, ""as a defence to protect my family from misinformation. Wikipedia abhors a vacuum. If you don't define yourself, it will get done for you in colourful ways.""";726566;https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible;1998-09-24;0060786507;The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.;Barbara Kingsolver;English;4.09;Pulitzer Prize, Orange Prize, Book Sense Book of the Year Award, PEN/Faulkner Award for Fiction, Independent Publisher Book Award (IPPY), Exclusive Books Boeke Prize, Puddly Award, Dublin Literary Award;Orleanna Price, Ruth May Price, Rachel Rebeccah Price, Leah Price, Nathan Price, Dr Bud Wharton, Adah Price, Reverend & Mrs. Underdown;7244;The Poisonwood Bible
Die Verwandlung;"Prague-born writer Franz Kafka wrote in German, and his stories, such as ""
  The Metamorphosis
"" (1916), and posthumously published novels, including 
  The Trial
 (1925), concern troubled individuals in a nightmarishly impersonal world.Jewish middle-class family of this major fiction writer of the 20th century spoke German. People consider his unique body of much incomplete writing, mainly published posthumously, among the most influential in European literature. His stories include ""The Metamorphosis"" (1912) and ""
  In the Penal Colony
"" (1914), whereas his posthumous novels include The Trial (1925), 
  The Castle
 (1926) and 
  Amerika
 (1927).Despite first language, Kafka also spoke fluent Czech. Later, Kafka acquired some knowledge of the French language and culture from Flaubert, one of his favorite authors. Kafka first studied chemistry at the Charles-Ferdinand University of Prague but after two weeks switched to law. This study offered a range of career possibilities, which pleased his father, and required a longer course of study that gave Kafka time to take classes in German studies and art history. At the university, he joined a student club, named Lese- und Redehalle der Deutschen Studenten, which organized literary events, readings, and other activities. In the end of his first year of studies, he met Max Brod, a close friend of his throughout his life, together with the journalist Felix Weltsch, who also studied law. Kafka obtained the degree of doctor of law on 18 June 1906 and performed an obligatory year of unpaid service as law clerk for the civil and criminal courts. Writing of Kafka attracted little attention before his death. During his lifetime, he published only a few short stories and never finished any of his novels except the very short ""The Metamorphosis."" Kafka wrote to Max Brod, his friend and literary executor: ""Dearest Max, my last request: Everything I leave behind me ... in the way of diaries, manuscripts, letters (my own and others'), sketches, and so on, [is] to be burned unread."" Brod told Kafka that he intended not to honor these wishes, but Kafka, so knowing, nevertheless consequently gave these directions specifically to Brod, who, so reasoning, overrode these wishes. Brod in fact oversaw the publication of most of work of Kafka in his possession; these works quickly began to attract attention and high critical regard. Max Brod encountered significant difficulty in compiling notebooks of Kafka into any chronological order as Kafka started writing in the middle of notebooks, from the last towards the first, et cetera.Kafka wrote all his published works in German except several letters in Czech to Milena Jesenská. ";962098;https://www.goodreads.com/book/show/485894.The_Metamorphosis;1915-01-01;;"As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes."" With it's startling, bizarre, yet surprisingly funny first opening, Kafka begins his masterpiece, The Metamorphosis. It is the story of a young man who, transformed overnight into a giant beetle-like insect, becomes an object of disgrace to his family, an outsider in his own home, a quintessentially alienated man. A harrowing—though absurdly comic—meditation on human feelings of inadequacy, guilt, and isolation, The Metamorphosis has taken its place as one of the most widely read and influential works of twentieth-century fiction. As W.H. Auden wrote, ""Kafka is important to us because his predicament is the predicament of modern man.""";Franz Kafka;English;3.85;[];Gregor Samsa, Grete Samsa, Mr. Samsa, Mrs. Samsa;485894;The Metamorphosis
The Color Purple;Alice Walker, one of the United States’ preeminent writers, is an award-winning author of novels, stories, essays, and poetry. In 1983, Walker became the first African-American woman to win a Pulitzer Prize for fiction with her novel The Color Purple, which also won the National Book Award. Her other books include The Third Life of Grange Copeland, Meridian, The Temple of My Familiar, and Possessing the Secret of Joy. In her public life, Walker has worked to address problems of injustice, inequality, and poverty as an activist, teacher, and public intellectual.;650868;https://www.goodreads.com/book/show/52892857-the-color-purple;1982-06-01;0143135694;Winner of the Pulitzer Prize and the National Book Award. Alice Walker's iconic modern classic is now a Penguin Book.A powerful cultural touchstone of modern American literature, The Color Purple depicts the lives of African American women in early twentieth-century rural Georgia. Separated as girls, sisters Celie and Nettie sustain their loyalty to and hope in each other across time, distance and silence. Through a series of letters spanning twenty years, first from Celie to God, then the sisters to each other despite the unknown, the novel draws readers into its rich and memorable portrayals of Celie, Nettie, Shug Avery and Sofia and their experience. The Color Purple broke the silence around domestic and sexual abuse, narrating the lives of women through their pain and struggle, companionship and growth, resilience and bravery. Deeply compassionate and beautifully imagined, Alice Walker's epic carries readers on a spirit-affirming journey towards redemption and love.;Alice Walker;English;4.26;Pulitzer Prize, National Book Award, National Book Critics Circle Award, Townsend Prize for Fiction;Nettie, Albert, Celie, Shug Avery, Miss Millie;52892857;The Color Purple
Atlas Shrugged;"Polemical novels, such as 
  The Fountainhead
 (1943), of primarily known Russian-born American writer Ayn Rand, originally Alisa Rosenbaum, espouse the doctrines of objectivism and political libertarianism. Alisa Rosenbaum entered into a prosperous Jewish family before Russian revolution. When the Bolsheviks requisitioned the pharmacy that Fronz Rosenbaum, her father, owned, the family fled to the Crimea. Alisa returned to the city, renamed Leningrad, to attend the university, but relatives already settled in America and in 1926 offered her the chance of joining them. With money from the sale of jewelry of her mother, Alisa bought a ticket to New York. On arrival at Ellis Island, she changed into Ayn (after a name of some Finnish author, probably ""Aino"") Rand (a supposed abbreviation of her Russian surname). She moved swiftly to Hollywood, where she learned English, worked in the RKO wardrobe department and as an extra, and wrote through the night on screenplays and novels. Because her original visa as a visitor expired, she also married a ""beautiful"" bit-part actor, called Frank O'Connor. Rand sold her first screenplay in 1932, but nobody bought We the Living (1936), her first novel and a melodrama, set in Russia. Her first real success was The Fountainhead (rejected by more than ten publishers before publication in 1943).She started a new philosophy, known as objectivism, opposed to state interference of all kinds, and her follow-up novel Atlas Shrugged (1957) describes a group who attempt to escape conspiracy of mediocrity of America. Objectivism has been an influence on various other movements such as Libertarianism, and Rand's vocal support for Laissez-faire Capitalism and the free market has earned her a distinct spot among American philosophers, and philosophers in general.";383924;https://www.goodreads.com/book/show/662.Atlas_Shrugged;1957-10-10;0452011876;This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story. Tremendous in its scope, this novel presents an astounding panorama of human life — from the productive genius who becomes a worthless playboy — to the great steel industrialist who does not know that he is working for his own destruction — to the philosopher who becomes a pirate — to the composer who gives up his career on the night of his triumph — to the woman who runs a transcontinental railroad — to the lowest track worker in her Terminal tunnels. You must be prepared, when you read this novel, to check every premise at the root of your convictions.This is a mystery story, not about the murder — and rebirth — of man’s spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well, that is the first of your premises to check.;Ayn Rand;English;3.69;Prometheus Hall of Fame Award, National Book Award Finalist;Prometheus (mythology), Atlas, Dagny Taggart, John Galt, Hank Rearden, Francisco d'Anconia, James Taggart;662;Atlas Shrugged
In Cold Blood;"Truman Capote was an American writer whose non-fiction, stories, novels and plays are recognised literary classics, including the novella Breakfast at Tiffany's (1958) and In Cold Blood (1965), which he labeled a ""non-fiction novel."" At least 20 films and TV dramas have been produced from Capote novels, stories and screenplays.He was born as Truman Streckfus Persons to a salesman Archulus Persons and young Lillie Mae. His parents divorced when he was four and he went to live with his mother's relatives in Monroeville, Alabama. He was a lonely child who learned to read and write by himself before entering school. In 1933, he moved to New York City to live with his mother and her new husband, Joseph Capote, a Cuban-born businessman. Mr. Capote adopted Truman, legally changing his last name to Capote and enrolling him in private school. After graduating from high school in 1942, Truman Capote began his regular job as a copy boy at The New Yorker. During this time, he also began his career as a writer, publishing many short stories which introduced him into a circle of literary critics. His first novel, Other Voices, Other Rooms, published in 1948, stayed on The New York Times bestseller list for nine weeks and became controversial because of the photograph of Capote used to promote the novel, posing seductively and gazing into the camera.In the 1950s and 1960s, Capote remained prolific producing both fiction and non-fiction. His masterpiece, In Cold Blood, a story about the murder of the Clutter family in Holcomb, Kansas, was published in 1966 in book form by Random House, became a worldwide success and brought Capote much praise from the literary community. After this success he published rarely and suffered from alcohol addiction. He died in 1984 at age 59.";635662;https://www.goodreads.com/book/show/168642.In_Cold_Blood;1948-01-01;0679745580;On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. In Cold Blood is a work that transcends its moment, yielding poignant insights into the nature of American violence.;Truman Capote;English;4.08;Edgar Award;Perry Edward Smith, Richard Hickock, Herb Clutter, Bonnie Clutter, Nancy Clutter, Kenyon Clutter, Alvin Dewey;168642;In Cold Blood
Anne of Green Gables;Lucy Maud Montgomery was a Canadian author, best known for a series of novels beginning with Anne of Green Gables, published in 1908.Montgomery was born at Clifton, Prince Edward Island, Nov. 30, 1874. She came to live at Leaskdale, north of Uxbridge Ontario, after her wedding with Rev. Ewen Macdonald on July 11, 1911. She had three children and wrote close to a dozen books while she was living in the Leaskdale Manse before the family moved to Norval, Ontario in 1926. She died in Toronto April 24, 1942 and was buried at Cavendish, Prince Edward Island.;936886;https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables;1908-01-01;0451528824;This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts—elderly Matthew and his stern sister, Marilla—want to adopt a boy, not a feisty redheaded girl. But before they can send her back, Anne—who simply must have more scope for her imagination and a real home—wins them over completely. A much-loved classic that explores all the vulnerability, expectations, and dreams of a child growing up, Anne of Green Gables is also a wonderful portrait of a time, a place, a family… and, most of all, love. WITH AN AFTERWORD BY JENNIFER LEE CARELL;L.M. Montgomery;English;4.3;[];Marilla Cuthbert, Matthew Cuthbert, Diana Barry, Gilbert Blythe, Rachel Lynde, Anne Shirley, Jane Andrews, Ruby Gillis, Josie Pye, Prissy Andrews, Mr. Phillips, Mrs. Allan, Muriel Stacey;8127;Anne of Green Gables
O Alquimista;"The Brazilian author PAULO COELHO was born in 1947 in the city of Rio de Janeiro. Before dedicating his life completely to literature, he worked as theatre director and actor, lyricist and journalist. In 1986, PAULO COELHO did the pilgrimage to Saint James of Compostella, an experience later to be documented in his book The Pilgrimage. In the following year, COELHO published The Alchemist. Slow initial sales convinced his first publisher to drop the novel, but it went on to become one of the best selling Brazilian books of all time. Other titles include Brida (1990), The Valkyries (1992), By the river Piedra I sat Down and Wept (1994), the collection of his best columns published in the Brazilian newspaper Folha de São Paulo entitle Maktub (1994), the compilation of texts Phrases (1995), The Fifth Mountain (1996), Manual of a Warrior of Light (1997), Veronika decides to die (1998), The Devil and Miss Prym (2000), the compilation of traditional tales in Stories for parents, children and grandchildren (2001), Eleven Minutes (2003), The Zahir (2005), The Witch of Portobello (2006) and Winner Stands Alone (to be released in 2009). During the months of March, April, May and June 2006, Paulo Coelho traveled to celebrate the 20th anniversary of his pilgrimage to Saint James of Compostella in 1986. He also held surprise book signings - announced one day in advance - in some cities along the way, to have a chance to meet his readers. In ninety days of pilgrimage the author traveled around the globe and took the famous Transiberrian train that took him to Vladivostok. During this experience Paulo Coelho launched his blog Walking the Path - The Pilgrimage in order to share with his readers his impressions. Since this first blog Paulo Coelho has expanded his presence in the internet with his daily blogs in Wordpress, Myspace &amp; Facebook. He is equally present in media sharing sites such as Youtube and Flickr, offering on a regular basis not only texts but also videos and pictures to his readers. From this intensive interest and use of the Internet sprang his bold new project: The Experimental Witch where he invites his readers to adapt to the screen his book The Witch of Portobello. Indeed Paulo Coelho is a firm believer of Internet as a new media and is the first Best-selling author to actively support online free distribution of his work. ";2881961;https://www.goodreads.com/book/show/18144590-the-alchemist;1988-01-01;0062315005;Combining magic, mysticism, wisdom, and wonder into an inspiring tale of self-discovery, The Alchemist has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, following our dreams.;Paulo Coelho;English;3.9;NBDB National Book Awards, Grand Prix des lectrices de Elle, Premio Grinzane Cavour, Corine Internationaler Buchpreis;Santiago, Alchemist, Melchizedek;18144590;The Alchemist
The Bell Jar;Sylvia Plath was an American poet, novelist, and short story writer. Known primarily for her poetry, Plath also wrote a semi-autobiographical novel, The Bell Jar, under the pseudonym Victoria Lucas. The book's protagonist, Esther Greenwood, is a bright, ambitious student at Smith College who begins to experience a mental breakdown while interning for a fashion magazine in New York. The plot parallels Plath's experience interning at Mademoiselle magazine and subsequent mental breakdown and suicide attempt.;875004;https://www.goodreads.com/book/show/6514.The_Bell_Jar;1963-01-01;;The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic.;Sylvia Plath;English;4.04;[];Esther Greenwood, Buddy Willard, Joan Gilling;6514;The Bell Jar
