bookId;genres
52892857;classics&fiction&historical-fiction&feminism&lgbt&historical&queer&african-american&literature&novels
44767458;science-fiction&fiction&fantasy&classics&science-fiction-fantasy&audiobook&space-opera&novels&adventure&adult
41044096;young-adult&fiction&historical-fiction&classics&childrens&middle-grade&adventure&historical&school&survival
40940121;fiction&young-adult&classics&fantasy&childrens&middle-grade&realistic-fiction&school&contemporary&juvenile
40881621;fiction&poetry&classics&philosophy&literature&portugal&portuguese-literature&novels&20th-century&unfinished
40792344;christian&non-fiction&religion&theology&christianity&classics&philosophy&faith&spirituality&christian-living
40779082;history&non-fiction&war&world-war-i&military-fiction&military-history&politics&historical&european-history&world-history
40651883;science-fiction&fiction&cyberpunk&fantasy&science-fiction-fantasy&dystopia&novels&speculative-fiction&audiobook&classics
40605251;fantasy&fiction&historical-fiction&arthurian&mythology&classics&historical&science-fiction-fantasy&romance&magic
40604658;science-fiction&fiction&thriller&adventure&fantasy&horror&classics&science-fiction-fantasy&dinosaurs&adult
40495148;fiction&dystopia&science-fiction&classics&novels&literature&portugal&horror&portuguese-literature&nobel-prize
39280444;young-adult&fiction&contemporary&realistic-fiction&mental-health&teen&coming-of-age&high-school&school&banned-books
38374795;classics&fiction&historical-fiction&literature&british-literature&novels&20th-century&romance&literary-fiction&audiobook
36402034;science-fiction&fiction&classics&dystopia&cyberpunk&science-fiction-fantasy&fantasy&novels&speculative-fiction&american
36236124;fiction&classics&contemporary&thriller&novels&mystery&adult&literature&american&adult-fiction
36236123;fiction&contemporary&thriller&novels&humor&literature&american&dark&horror&audiobook
33648131;romance&fiction&chick-lit&contemporary&adult&adult-fiction&classics&contemporary-romance&love&drama
33574273;fantasy&fiction&classics&young-adult&science-fiction&childrens&middle-grade&time-travel&adventure&science-fiction-fantasy
33124137;horror&fiction&thriller&fantasy&audiobook&paranormal&adult&supernatural&mystery&suspense
28251250;fiction&classics&literature&novels&literary-fiction&american&contemporary&20th-century&science-fiction&the-united-states-of-america
25845273;christian&fiction&religion&classics&theology&christianity&fantasy&faith&christian-fiction&philosophy
18144590;fiction&classics&fantasy&philosophy&novels&spirituality&self-help&literature&adventure&audiobook
18114322;classics&fiction&historical-fiction&literature&novels&school&american&historical&classic-literature&high-school
17899948;classics&fiction&mystery&gothic&romance&historical-fiction&thriller&horror&mystery-thriller&audiobook
13079982;classics&fiction&science-fiction&dystopia&school&literature&novels&fantasy&audiobook&adult
10073506;fiction&mystery&thriller&espionage&classics&mystery-thriller&crime&suspense&spy-thriller&novels
8130077;fiction&christian&classics&religion&christianity&fantasy&theology&christian-fiction&faith&philosophy
7944648;fiction&contemporary&literary-fiction&adult-fiction&novels&literature&book-club&adult&suspense&drama
