authorName;authorAbout;authorID
Alice Walker;Alice Walker, one of the United States’ preeminent writers, is an award-winning author of novels, stories, essays, and poetry. In 1983, Walker became the first African-American woman to win a Pulitzer Prize for fiction with her novel The Color Purple, which also won the National Book Award. Her other books include The Third Life of Grange Copeland, Meridian, The Temple of My Familiar, and Possessing the Secret of Joy. In her public life, Walker has worked to address problems of injustice, inequality, and poverty as an activist, teacher, and public intellectual.;0
Frank Herbert;"People note 
  Dune
 (1965) of American science fiction novelist Frank Patrick Herbert for its intricate plot and its broad intellectual scope. Frank Herbert authored five critically acclaimed and commercially successful sequels to this best-known work. Widely considered among the classics in the field of science fiction, the Dune saga, set in the distant future and taking place over millennia, dealt with themes, such as human survival, human evolution, ecology, and the intersection of religion, politics, and power.He was the father of fellow author Brian Herbert. ";1
Scott O'Dell;"Scott O'Dell (May 23, 1898 – October 16, 1989) was an American children's author who wrote 26 novels for youngsters, along with three adult novels and four nonfiction books. He was most famously the author of the children's novel Island of the Blue Dolphins (1960), which won the 1961 Newbery Medal as well as a number of other awards. Other award winning books by O'Dell include The King's Fifth (1966), Black Star, Bright Dawn (1988), The Black Pearl (1967), and Sing Down the Moon (1970); which were all also Newbery Honor award books. O'Dell wrote primarily historical fiction. Many of his children's novels are about historical California and Mexico.";2
Katherine Paterson;"From author's website:People are always asking me questions I don't have answers for. One is, ""When did you first know that you wanted to become a writer?"" The fact is that I never wanted to be a writer, at least not when I was a child, or even a young woman. Today I want very much to be a writer. But when I was ten, I wanted to be either a movie star or a missionary. When I was twenty, I wanted to get married and have lots of children.Another question I can't answer is, ""When did you begin writing?"" I can't remember. I know I began reading when I was four or five, because I couldn't stand not being able to. I must have tried writing soon afterward. Fortunately, very few samples of my early writing survived the eighteen moves I made before I was eighteen years old. I say fortunately, because the samples that did manage to survive are terrible, with the single exception of a rather nice letter I wrote to my father when I was seven. We were living in Shanghai, and my father was working in our old home territory, which at the time was across various battle lines. I missed him very much, and in telling him so, I managed a piece of writing I am not ashamed of to this day.A lot has happened to me since I wrote that letter. The following year, we had to refugee a second time because war between Japan and the United States seemed inevitable. During World War II, we lived in Virginia and North Carolina, and when our family's return to China was indefinitely postponed, we moved to various towns in North Carolina, Virginia, and West Virginia, before my parents settled in Winchester, Virginia.By that time, I was ready to begin college. I spent four years at King College in Bristol, Tennessee, doing what I loved best-reading English and American literature-and avoiding math whenever possible.My dream of becoming a movie star never came true, but I did a lot of acting all through school, and the first writing for which I got any applause consisted of plays I wrote for my sixth-grade friends to act out.On the way to becoming a missionary, I spent a year teaching in a rural school in northern Virginia, where almost all my children were like Jesse Aarons. I'll never forget that wonderful class. A teacher I once met at a meeting in Virginia told me that when she read Bridge to Terabithia to her class, one of the girls told her that her mother had been in that Lovettsville sixth grade. I am very happy that those children, now grown up with children of their own, know about the book. I hope they can tell by reading it how much they meant to me.After Lovettsville, I spent two years in graduate school in Richmond, Virginia, studying Bible and Christian education; then I went to Japan. My childhood dream was, of course, to be a missionary to China and eat Chinese food three times a day. But China was closed to Americans in 1957, and a Japanese friend urged me to go to Japan instead. I remembered the Japanese as the enemy. They were the ones who dropped the bombs and then occupied the towns where I had lived as a child. I was afraid of the Japanese, and so I hated them. But my friend persuaded me to put aside those childish feelings and give myself a chance to view the Japanese in a new way.If you've read my early books, you must know that I came to love Japan and feel very much at home there. I went to language school, and lived and worked in that country for four years. I had every intention of spending the rest of my life among the Japanese. But when I returned to the States for a year of study in New York, I met a young Presbyterian pastor who changed the direction of my life once again. We were married in 1962.I suppose my life as a writer really began in 1964. The Presbyterian church asked me to write some curriculum materials for fifth- and sixth-graders. Since the church had given me a scholarship to study and I had married instead of going back to work in Japan, I felt I owed them something for their m";3
Fernando Pessoa;"Fernando António Nogueira Pessoa was a poet and writer.It is sometimes said that the four greatest Portuguese poets of modern times are Fernando Pessoa. The statement is possible since Pessoa, whose name means ‘person’ in Portuguese, had three alter egos who wrote in styles completely different from his own. In fact Pessoa wrote under dozens of names, but Alberto Caeiro, Ricardo Reis and Álvaro de Campos were – their creator claimed – full-fledged individuals who wrote things that he himself would never or could never write. He dubbed them ‘heteronyms’ rather than pseudonyms, since they were not false names but “other names”, belonging to distinct literary personalities. Not only were their styles different; they thought differently, they had different religious and political views, different aesthetic sensibilities, different social temperaments. And each produced a large body of poetry. Álvaro de Campos and Ricardo Reis also signed dozens of pages of prose.The critic Harold Bloom referred to him in the book The Western Canon as the most representative poet of the twentieth century, along with Pablo Neruda.";4
C.S. Lewis;Librarian Note: There is more than one author in the Goodreads database with this name.Clive Staples Lewis was one of the intellectual giants of the twentieth century and arguably one of the most influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance Literature at Cambridge University, a position he held until his retirement. He wrote more than thirty books, allowing him to reach a vast audience, and his works continue to attract thousands of new readers every year. His most distinguished and popular accomplishments include Mere Christianity, Out of the Silent Planet, The Great Divorce, The Screwtape Letters, and the universally acknowledged classics The Chronicles of Narnia. To date, the Narnia books have sold over 100 million copies and been transformed into three major motion pictures.Lewis was married to poet Joy Davidman. W.H. Lewis was his elder brother];5
Barbara W. Tuchman;Barbara Wertheim Tuchman was an American self-trained historian and author and double Pulitzer Prize winner. She became best known for The Guns of August (1962), a history of the prelude and first month of World War I.As an author, Tuchman focused on producing popular history. Her clear, dramatic storytelling covered topics as diverse as the 14th century and World War I, and sold millions of copies.;6
Neal Stephenson;Neal Stephenson is the author of Reamde, Anathem, and the three-volume historical epic the Baroque Cycle (Quicksilver, The Confusion, and The System of the World), as well as Cryptonomicon, The Diamond Age, Snow Crash, and Zodiac. He lives in Seattle, Washington.;7
Marion Zimmer Bradley;"Marion Eleanor Zimmer Bradley was an American author of fantasy novels such as The Mists of Avalon and the Darkover series, often with a feminist outlook.Bradley's first published novel-length work was Falcons of Narabedla, first published in the May 1957 issue of Other Worlds. When she was a child, Bradley stated that she enjoyed reading adventure fantasy authors such as Henry Kuttner, Edmond Hamilton, and Leigh Brackett, especially when they wrote about ""the glint of strange suns on worlds that never were and never would be."" Her first novel and much of her subsequent work show their influence strongly.Early in her career, writing as Morgan Ives, Miriam Gardner, John Dexter, and Lee Chapman, Marion Zimmer Bradley produced several works outside the speculative fiction genre, including some gay and lesbian pulp fiction novels. For example, I Am a Lesbian was published in 1962. Though relatively tame by today's standards, they were considered pornographic when published, and for a long time she refused to disclose the titles she wrote under these pseudonyms.Her 1958 story The Planet Savers introduced the planet of Darkover, which became the setting of a popular series by Bradley and other authors. The Darkover milieu may be considered as either fantasy with science fiction overtones or as science fiction with fantasy overtones, as Darkover is a lost earth colony where psi powers developed to an unusual degree. Bradley wrote many Darkover novels by herself, but in her later years collaborated with other authors for publication; her literary collaborators have continued the series since her death.Bradley took an active role in science-fiction and fantasy fandom, promoting interaction with professional authors and publishers and making several important contributions to the subculture.For many years, Bradley actively encouraged Darkover fan fiction and reprinted some of it in commercial Darkover anthologies, continuing to encourage submissions from unpublished authors, but this ended after a dispute with a fan over an unpublished Darkover novel of Bradley's that had similarities to some of the fan's stories. As a result, the novel remained unpublished, and Bradley demanded the cessation of all Darkover fan fiction.Bradley was also the editor of the long-running Sword and Sorceress anthology series, which encouraged submissions of fantasy stories featuring original and non-traditional heroines from young and upcoming authors. Although she particularly encouraged young female authors, she was not averse to including male authors in her anthologies. Mercedes Lackey was just one of many authors who first appeared in the anthologies. She also maintained a large family of writers at her home in Berkeley. Ms Bradley was editing the final Sword and Sorceress manuscript up until the week of her death in September of 1999.Probably her most famous single novel is The Mists of Avalon. A retelling of the Camelot legend from the point of view of Morgaine and Gwenhwyfar, it grew into a series of books; like the Darkover series, the later novels are written with or by other authors and have continued to appear after Bradley's death.Her reputation has been posthumously marred by multiple accusations of child sexual abuse by her daughter Moira Greyland, and for allegedly assisting her second husband, convicted child abuser Walter Breen, in sexually abusing multiple unrelated children.(from Wikipedia)";8
Michael Crichton;"Michael Crichton (1942-2008) was one of the most successful novelists of his generation, admired for his meticulous scientific research and fast-paced narrative. He graduated summa cum laude and earned his MD from Harvard Medical School in 1969. His first novel, 
  Odds On
 (1966), was written under the pseudonym John Lange and was followed by seven more Lange novels. He also wrote as Michael Douglas and Jeffery Hudson. His novel 
  A Case of Need
 won the Edgar Award in 1969. Popular throughout the world, he has sold more than 200 million books. His novels have been translated into thirty-eight languages, and thirteen have been made into films.Michael Crichton died of lymphoma in 2008. He was 66 years old.";9
José Saramago;"Novels of especially noted Portuguese writer José Saramago, include 
  Country of Sin
 (1947) and 
  The Stone Raft
 (1986); people awarded him the Nobel Prize of 1998 for literature. The most important among nations of the last century, he in his sixties then came to prominence with the publication of 
  Baltasar and Blimunda
. A huge body of work followed, translated into more than forty languages. https://en.wikipedia.org/wiki/Jos%C3%...";10
Laurie Halse Anderson;UPDATE! SHOUT, my memoir in verse, is out, has received 9 starred reviews, and was longlisted for the National Book Award!For bio stuff: Laurie Halse Anderson is a New York Times bestselling author whose writing spans young readers, teens, and adults. Combined, her books have sold more than 8 million copies. Her new book, SHOUT, a memoir-in-verse about surviving sexual assault at the age of thirteen and a manifesta for the #MeToo era, has received widespread critical acclaim and appeared on the New York Times bestseller list for seven consecutive weeks.Laurie has been nominated for the Astrid Lindgren Memorial Award four times. Two of her books, Speak and Chains, were National Book Award finalists, and Chains was short-listed for the prestigious Carnegie medal. Two more books, Shout and The Impossible Knife of Memory, were long-listed for the National Book Award. Laurie was selected by the American Library Association for the 2009 Margaret A. Edwards Award and has been honored for her battles for intellectual freedom by the National Coalition Against Censorship and the National Council of Teachers of English. In addition to combating censorship, Laurie regularly speaks about the need for diversity in publishing and is a member of RAINN’s National Leadership Council. She lives in Philadelphia, where she enjoys cheesesteaks while she writes. Find out more about Laurie by following her on Twitter at @halseanderson, Instagram at halseanderson, and Facebook at lauriehalseanderson, or by visiting her website, madwomanintheforest.com.;11
E.M. Forster;"Edward Morgan Forster, generally published as E.M. Forster, was an novelist, essayist, and short story writer. He is known best for his ironic and well-plotted novels examining class difference and hypocrisy in early 20th-century British society. His humanistic impulse toward understanding and sympathy may be aptly summed up in the epigraph to his 1910 novel Howards End: ""Only connect"".He had five novels published in his lifetime, achieving his greatest success with A Passage to India (1924) which takes as its subject the relationship between East and West, seen through the lens of India in the later days of the British Raj. Forster's views as a secular humanist are at the heart of his work, which often depicts the pursuit of personal connections in spite of the restrictions of contemporary society. He is noted for his use of symbolism as a technique in his novels, and he has been criticised for his attachment to mysticism. His other works include Where Angels Fear to Tread (1905), The Longest Journey (1907), A Room with a View (1908) and Maurice (1971), his posthumously published novel which tells of the coming of age of an explicitly gay male character.";12
