bookId;ISBN;title;Original Title;numberOfRatings;rating;firstPublishedDate;description;Edition Language;authorID
52892857;0143135694;The Color Purple;The Color Purple;650868;4.26;1982-06-01;Winner of the Pulitzer Prize and the National Book Award. Alice Walker's iconic modern classic is now a Penguin Book.A powerful cultural touchstone of modern American literature, The Color Purple depicts the lives of African American women in early twentieth-century rural Georgia. Separated as girls, sisters Celie and Nettie sustain their loyalty to and hope in each other across time, distance and silence. Through a series of letters spanning twenty years, first from Celie to God, then the sisters to each other despite the unknown, the novel draws readers into its rich and memorable portrayals of Celie, Nettie, Shug Avery and Sofia and their experience. The Color Purple broke the silence around domestic and sexual abuse, narrating the lives of women through their pain and struggle, companionship and growth, resilience and bravery. Deeply compassionate and beautifully imagined, Alice Walker's epic carries readers on a spirit-affirming journey towards redemption and love.;English;0
44767458;059309932X;Dune;Dune;1253630;4.26;1965-06-01;Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.***Original, first edition from 1965 can be found here.;English;1
41044096;;Island of the Blue Dolphins;Island of the Blue Dolphins;326087;3.86;1960-09-09;In the Pacific there is an island that looks like a big fish sunning itself in the sea. Around it, blue dolphins swim, otters play, and sea elephants and sea birds abound. Once, Indians also lived on the island. And when they left and sailed to the east, one young girl was left behind. — This is the story of Karana, the Indian girl who lived alone for years on the Island of the Blue Dolphins. Year after year, she watched one season pass into another and waited for a ship to take her away. But while she waited, she kept herself alive by building shelter, making weapons, finding food, and fighting her enemies, the wild dogs. It is not only an unusual adventure of survival, but also a tale of natural beauty and personal discovery.;English;2
40940121;;Bridge to Terabithia;Bridge to Terabithia;529021;4.04;1977-10-21;The 40th anniversary edition of the classic Newbery Medal-winning title by beloved author Katherine Paterson, with brand-new bonus materials including an author's note by Katherine herself and a foreword by New York Times bestselling author Kate DiCamillo. Jess Aarons has been practicing all summer so he can be the fastest runner in the fifth grade. And he almost is, until the new girl in school, Leslie Burke, outpaces him. The two become fast friends and spend most days in the woods behind Leslie's house, where they invent an enchanted land called Terabithia. One morning, Leslie goes to Terabithia without Jess and a tragedy occurs. It will take the love of his family and the strength that Leslie has given him for Jess to be able to deal with his grief.Bridge to Terabithia was also named an ALA Notable Children’s Book and has become a touchstone of children’s literature, as have many of Katherine Paterson’s other novels, including The Great Gilly Hopkins and Jacob Have I Loved.;English;3
40881621;;The Book of Disquiet: The Complete Edition;Livro do Desassossego;28831;4.42;1982-01-01;"Această carte aproape mitică, probabil opera cea mai seducătoare a lui Fernando Pessoa, e un monolog de o tristețe indicibilă, care surprinde cu o minuție halucinantă interiorul cu mii de fațete al unuia dintre numeroși săi heteronimi, Bernardo Soares.„Cine este Fernando Pessoa?"" se întreba Octavio Paz, adeverind încă o dată că opera unuia dintre cei mai importanţi, prolifici şi proteiformi autori ai secolului XX, „investigatorul solemn al lucrurilor futile"", declină personalităţile virtuale coexistând în sine şi revelate graţie scriiturii ce atribuie fiecăreia o realitate fictivă. Scrisă între 1913 şi 1935 sub formă de panseuri, maxime, aforisme, Cartea neliniştirii, pseudojurnalul pessoan, este o cronică a deziluziei şi a deriziunii izvorâte din convingerea că viaţa e lipsită de noimă, iar arta nu-i conferă nici un sens. Ferit de privirile contemporanilor, cultivându-şi sistematic forţa imaginaţiei, Pessoa îşi construieşte un dublu - Bernando Soares - pe care-l aşază într-un univers personal ireal şi cu toate astea mai adevărat, pentru el, decât lumea reală. Soares, un umil funcţionar în costume cenuşii, alege să-şi petreacă viaţa într-o izolare aproape monahală, mai degrabă visând-o decât trăind-o, privind-o fără pretenţia de a o descifra şi proiectând asupra ei propriile emoţii pe care le încearcă închis între pereţii camerei unde îşi aşterne pe hârtie disperarea. Soares scrie cu luciditate, îndârjire şi furie, împingând introspecţia până la limita incomunicabilului. Dar dincolo de zidurile care-l împrejmuiesc se zăreşte urbea. Peisajul citadin este atât de prezent în toată cartea, încât fragmentele de însemnări încheagă un roman al oraşului cu care, de fapt, Pessoa are o legătură profundă, în genul aceleia pe care Baudelaire o are cu Parisul, Joyce, cu Dublinul şi Kafka, cu Praga. Şi poate tocmai aceste privelişti din fascinanta Lisabonă, cu străduţele ei întortocheate pulsând de viaţă, poartă cu ele speranţa unei posibile evadări.";English;4
40792344;;Mere Christianity;Mere Christianity;389210;4.35;1942-01-01;"Mere Christianity is C.S. Lewis's forceful and accessible doctrine of Christian belief. First heard as informal radio broadcasts and then published as three separate books — The Case for Christianity, Christian Behavior, and Beyond Personality — Mere Christianity brings together what Lewis saw as the fundamental truths of the religion. Rejecting the boundaries that divide Christianity's many denominations, C.S. Lewis finds a common ground on which all those who have Christian faith can stand together, proving that ""at the centre of each there is something, or a Someone, who against all divergences of belief, all differences of temperament, all memories of mutual persecution, speaks the same voice.""";;5
25845273;;The Great Divorce;The Great Divorce;142201;4.3;1946-01-01;Alternative cover for ISBN: 978-0-00-746123-3C.S. Lewis’ The Great Divorce is a classic Christian allegorical tale about a bus ride from hell to heaven. An extraordinary meditation upon good and evil, grace and judgment, Lewis’s revolutionary idea in the The Great Divorce is that the gates of Hell are locked from the inside. Using his extraordinary descriptive powers, Lewis’ The Great Divorce will change the way we think about good and evil.;English;5
8130077;;The Screwtape Letters;The Screwtape Letters;423597;4.26;1942-02-01;"The Screwtape Letters by C.S.  Lewis is a classic masterpiece of religious satire that entertains readers with its sly and ironic portrayal of human life and foibles from the vantage point of Screwtape, a highly placed assistant to ""Our Father Below."" At once wildly comic, deadly serious, and strikingly original, C.S. Lewis's The Screwtape Letters is the most engaging account of temptation—and triumph over it—ever written. ";English;5
140225;006112527X;The Voyage of the Dawn Treader;The Voyage of the Dawn Treader;455977;4.09;1952-09-15;NARNIA... the world of wicked dragons and magic spells, where the very best is brought out of even the worst people, where anything can happen (and most often does)... and where the adventure begins.The Dawn Treader is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Miraz banished when he usurped the throne. The journey takes Edmund, Lucy, and their cousin Eustace to the Eastern Islands, beyond the Silver Sea, toward Aslan's country at the End of the World.;English;5
121749;000720230X;Prince Caspian;Prince Caspian;421762;3.98;1951-10-15;The four Pevensies help Caspian battle Miraz and ascend his rightful throneNARNIA... the land between the lamp-post and the castle of Cair Paravel, where animals talk, where magical things happen... and where the adventure begins.Peter, Susan, Edmund, and Lucy are returning to boarding school when they are summoned from the dreary train station (by Susan's own magic horn) to return to the land of Narnia—the land where they had ruled as kings and queens and where their help is desperately needed.;English;5
