naslov,izdano,dolzina,jezik
The Hunger Games,2008,374,English
Harry Potter and the Order of the Phoenix,2004,870,English
To Kill a Mockingbird ,2006,324,English
Pride and Prejudice,2000,279,English
Twilight,2006,501,English
The Book Thief,2006,552,English
Animal Farm: A Fairy Story,1996,141,English
The Chronicles of Narnia,2002,767,English
The Fault in Our Stars,2012,313,English
Gone with the Wind,1999,1037,English
The Hitchhiker's Guide to the Galaxy,2007,193,English
The Giving Tree,1964,64,English
Wuthering Heights,2002,464,English
The Da Vinci Code,2006,489,English
The Picture of Dorian Gray,2004,272,English
Memoirs of a Geisha,2005,503,English
"Alice's Adventures in Wonderland / Through the Looking Glass, and What Alice Found There",2000,239,English
Jane Eyre ,2003,532,English
Les Misérables,1987,1463,English
Fahrenheit 451,2011,194,English
Divergent,2012,487,English
Lord of the Flies,1999,182,English
An Excellent conceited Tragedy of Romeo and Juliet,2004,301,English
O Alquimista,2014,182,English
The Perks of Being a Wallflower,1999,213,English
Преступление и наказание,2002,671,English
The Great Gatsby,2004,200,English
City of Bones,2007,485,English
Ender's Game,2004,324,English
The Help,2009,451,English
Anne of Green Gables,2003,320,English
Harry Potter and the Philosopher's Stone,2003,309,English
Le Petit Prince,2000,93,English
Charlotte's Web,2001,184,English
Of Mice and Men ,2002,103,English
The Time Traveler's Wife,2013,500,English
Dracula,1986,488,English
Brave New World,1998,288,English
Cien años de soledad,2003,417,English
The Catcher in the Rye,2001,277,English
The Princess Bride,2003,456,English
The Lightning Thief,2006,375,English
The Secret Garden,1998,331,English
A Thousand Splendid Suns,2007,372,English
A Wrinkle in Time,2017,218,English
A Game of Thrones,2005,835,English
The Adventures of Huckleberry Finn,2002,327,English
The Outsiders,1997,192,English
The Lovely Bones,2006,372,English
Where the Wild Things Are,2000,37,English
Green Eggs and Ham,1988,62,English
Ὀδύσσεια ,2006,541,English
Life of Pi,2006,460,English
A Tale of Two Cities,2003,489,English
Water for Elephants,2007,335,English
Lolita,1995,331,English
"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",1999,275,English
"Frankenstein; or, The Modern Prometheus ",2018,288,English
The Kite Runner ,2004,371,English
The Handmaid's Tale,1998,314,English
The Giver,2006,208,English
Catch-22,2004,453,English
Dune,2019,661,English
Pillars of the Earth,2002,976,English
The Stand,1990,1153,English
Watership Down,1975,478,English
Great Expectations,1998,505,English
Little Women,2004,449,English
Harry Potter and the Deathly Hallows,2007,759,English
The Bell Jar,2006,294,English
One Flew Over the Cuckoo's Nest,1963,325,English
Анна Каренина,2012,964,English
Outlander,2005,850,English
Matilda,1998,240,English
My Sister's Keeper,2005,423,English
The Fellowship of the Ring,1973,527,English
Män som hatar kvinnor,2008,465,English
Rebecca,2013,449,English
Nineteen Eighty-Four,2013,237,English
The Color Purple,2019,304,English
A Tree Grows in Brooklyn ,2006,496,English
A Clockwork Orange,2019,240,English
The Road,2006,241,English
Братья Карамазовы,2002,796,English
Angela's Ashes: A Memoir,2005,452,English
Vampire Academy,2007,332,English
Siddhartha. Eine indische Dichtung,1981,152,English
The Poisonwood Bible,2005,546,English
Northern Lights,1996,399,English
 El ingenioso hidalgo don Quijote de la Mancha,2003,1023,English
Harry Potter and the Prisoner of Azkaban,2004,435,English
Atlas Shrugged,1999,1168,English
The Old Man and the Sea,1996,96,English
The Notebook,2000,227,English
The Complete Tales and Poems of Edgar Allan Poe,1984,821,English
Interview with the Vampire,2004,342,English
A Prayer for Owen Meany,1990,637,English
"Moby-Dick; or, The Whale ",2003,654,English
The Red Tent,1997,324,English
Harry Potter and the Goblet of Fire,2002,734,English
The Secret Life of Bees,2003,302,English
Clockwork Angel,2010,481,English
Harry Potter and the Half-Blood Prince,2006,652,English
Ten Little Niggers,2004,264,English
Middlesex,2003,529,English
L’Étranger,1989,123,English
Мастер и Маргарита,1996,372,English
The Name of the Wind,2007,662,English
The Shining,1980,659,English
The Adventures of Tom Sawyer,2006,244,English
Eragon,2005,503,English
Charlie and the Chocolate Factory,2005,176,English
Flowers for Algernon,1959,216,English
On the Road,1976,307,English
Die Verwandlung,1972,201,English
Looking for Alaska,2006,221,English
La sombra del viento,2005,487,English
The Curious Incident of the Dog in the Night-Time,2004,226,English
The Very Hungry Caterpillar,1994,26,English
Tuesdays with Morrie,2000,210,English
Nesnesitelná lehkost bytí,2009,320,English
Il nome della rosa,1994,536,English
Where the Red Fern Grows,2000,272,English
Harry Potter and the Chamber of Secrets,1999,341,English
The Godfather,2002,448,English
The Scarlet Letter,2003,279,English
In Cold Blood,1994,343,English
Fight Club,2018,218,English
The Five People You Meet in Heaven,2003,196,English
"Hush, Hush",2009,391,English
The Cat in the Hat,1985,61,English
Le Comte de Monte-Cristo,2003,1138,English
American Gods,2011,635,English
Lonesome Dove,1999,960,English
Das Parfum. Die Geschichte eines Mörders,1987,263,English
Holes,2000,233,English
"The Lion, the Witch and the Wardrobe",2005,206,English
Watchmen,2005,416,English
The Last Olympian,2009,381,English
It,1987,1116,English
The Little House Collection,2003,2700,English
La Divina Commedia,1995,798,English
Peter Pan,2003,176,English
Im Westen nichts Neues,1987,296,English
"The Hobbit, or There and Back Again",2002,366,English
El amor en los tiempos del cólera,2003,348,English
Shadow Kiss,2008,443,English
Insurgent,2012,525,English
The Thorn Birds,2002,692,English
A Walk to Remember,2000,215,English
How the Grinch Stole Christmas!,2004,64,English
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,2002,815,English
"Eat, Pray, Love",2007,368,English
Atonement,2003,351,English
The Importance of Being Earnest,2005,76,English
Their Eyes Were Watching God,2006,219,English
Les Trois Mousquetaires,2001,625,English
The Wonderful Wizard of Oz,1995,154,English
Frostbite,2008,327,English
Goodnight Moon,2007,32,English
The Lorax,1998,72,English
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",2006,491,English
Blood Promise,2009,503,English
Tess of the D'Urbervilles,2003,518,English
Heart of Darkness,2003,188,English
The Good Earth,2009,418,English
The Battle of the Labyrinth,2008,361,English
Clockwork Princess,2013,567,English
The Prophet,2010,127,English
The Mists of Avalon,2001,1009,English
The Titan's Curse,2007,320,English
The Sea of Monsters,2006,279,English
The Joy Luck Club,2006,288,English
Alice's adventures in Wonderland,2004,92,English
The Call of the Wild,2001,172,English
Jonathan Livingston Seagull,2006,112,English
Madame Bovary,2004,329,French
The Phantom Tollbooth,1996,256,English
Bridge to Terabithia,2009,190,English
The Hunger Games Box Set,2010,1155,English
"Oh, the Places You'll Go!",1990,44,English
The Maze Runner,2009,384,English
Flickan som lekte med elden,2009,503,English
"Oliver Twist; or, The Parish Boy’s Progress",2003,608,English
Die unendliche Geschichte,1997,396,English
Ulysses,1990,783,English
Treasure Island,2001,311,English
Fifty Shades of Grey,2011,356,English
The Clan of the Cave Bear,2016,516,English
A Storm of Swords,2003,1177,English
The Canterbury Tales ,2003,521,English
The World According to Garp,1999,610,English
A Farewell to Arms,2004,293,English
David Copperfield ,2004,882,English
Thirteen Reasons Why,2009,288,German
Wicked: The Life and Times of the Wicked Witch of the West,2000,406,English
Shōgun,2009,1152,English
Extremely Loud and Incredibly Close,2006,326,English
Murder on the Orient Express,2007,274,English
His Dark Materials: Northern Lights / The Subtle Knife / The Amber Spyglass,2003,1088,English
A Little Princess,2002,242,English
The Other Boleyn Girl,2003,661,English
Schindler's Ark,1994,429,English
The Boy in the Striped Pyjamas,2006,240,English
The Night Circus,2011,391,English
Jurassic Park,2012,466,English
Fallen,2009,452,English
Last Sacrifice ,2010,594,English
The Silmarillion,2004,386,English
The Secret Magdalene,2007,448,English
Beloved,2004,324,English
The Selection,2012,336,English
Der Prozess,2001,255,English
A Confederacy of Dunces,1994,394,English
The Sun Also Rises,1957,189,English
The Velveteen Rabbit,1987,40,English
Catching Fire,2009,391,English
The Lost Hero,2010,553,English
Throne of Glass,2012,406,English
Spirit Bound,2010,489,English
Clockwork Prince,2011,498,English
Ἰλιάς ; Ὀδύσσεια',1999,1556,English
The Crucible,2003,143,English
Cat's Cradle,1999,179,English
The God of Small Things,1997,340,English
The Wind in the Willows,2005,197,English
The Screwtape Letters,1942,228,English
Girl with a Pearl Earring,2005,233,English
The Hiding Place,1984,242,English
A Light in the Attic,2002,176,English
Shiver,2009,392,English
The Silence of the Lambs,2002,421,English
City of Fallen Angels,2011,425,English
Uglies,2005,425,English
Trotzdem ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,2006,165,English
She's Come Undone,1998,465,English
Ella Enchanted,1998,232,English
Marley &amp; Me: Life and Love with the World's Worst Dog,2005,291,English
Le Fantôme de l'Opéra,1987,360,English
ねじまき鳥クロニクル [Nejimakidori kuronikuru],1997,607,English
Cinder,2012,400,English
The Green Mile,1996,592,English
A Clash of Kings,2002,969,English
Ensaio sobre a cegueira,2013,349,English
The Sound and the Fury,1990,366,English
The Shack: Where Tragedy Confronts Eternity,2008,294,English
Hunted,2007,306,English
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,1998,204,English
The Guernsey Literary and Potato Peel Pie Society,2018,291,English
For Whom the Bell Tolls,1995,471,English
La casa de los espíritus,2005,448,English
The Complete Calvin and Hobbes,2005,1456,English
Roots,1977,729,English
Howl's Moving Castle,2001,329,English
Misery,1988,370,English
Stranger in a Strange Land,1991,525,English
Island of the Blue Dolphins,2010,194,English
Luftslottet som sprängdes,2010,566,English
The Secret History,2004,559,English
Het Achterhuis,1993,283,English
White Oleander,2001,446,English
Delirium,2012,441,English
Beautiful Disaster,2011,319,English
